;Classe;Département;Nombre individus
0;1887;ain;676
1;1887;aisne;1025
2;1887;allier;0
3;1887;alpes-de-haute-provence;1300
4;1887;alpes-maritimes;0
5;1887;archives+diplomatiques;0
6;1887;archives+nationales+d%27outre+mer;2455
7;1887;ardeche;2068
8;1887;ardennes;2213
9;1887;ariege;522
10;1887;aube;1797
11;1887;aude;3698
12;1887;aveyron;2458
13;1887;bas-rhin;8
14;1887;bouches-du-rhone;3021
15;1887;calvados;0
16;1887;cantal;2398
17;1887;charente;1787
18;1887;charente-maritime;3186
19;1887;cher;1990
20;1887;correze;3376
21;1887;corse;2366
22;1887;cote+d%27or;0
23;1887;cotes+d%27armor;4421
24;1887;creuse;1617
25;1887;deux-sevres;2021
26;1887;dordogne;3337
27;1887;doubs;0
28;1887;drome;2372
29;1887;eure;1585
30;1887;eure-et-loir;915
31;1887;finistere;5843
32;1887;gard;3800
33;1887;gers;1598
34;1887;gironde;5467
35;1887;guadeloupe;0
36;1887;haut-rhin;1
37;1887;haute-garonne;3919
38;1887;haute-loire;2353
39;1887;haute-marne;1494
40;1887;haute-saone;1612
41;1887;haute-savoie;2469
42;1887;haute-vienne;4076
43;1887;hautes-alpes;1009
44;1887;hautes-pyrenees;1870
45;1887;herault;2213
46;1887;ille-et-vilaine;5236
47;1887;indre;3645
48;1887;indre-et-loire;1816
49;1887;isere;4426
50;1887;jura;1795
51;1887;landes;1778
52;1887;loir-et-cher;1001
53;1887;loire;0
54;1887;loire-atlantique;4662
55;1887;loiret;2
56;1887;lot;1491
57;1887;lot-et-garonne;2587
58;1887;lozere;1598
59;1887;maine-et-loire;1675
60;1887;manche;1405
61;1887;marne;4339
62;1887;martinique;0
63;1887;mayenne;2692
64;1887;memoire+des+hommes;72
65;1887;meurthe-et-moselle;3004
66;1887;meuse;1721
67;1887;morbihan;4560
68;1887;moselle;0
69;1887;nievre;4094
70;1887;nord;0
71;1887;oise;0
72;1887;orne;2454
73;1887;paris;16968
74;1887;pas-de-calais;6875
75;1887;puy-de-dome;489
76;1887;pyrenees-atlantiques;4346
77;1887;pyrenees-orientales;1656
78;1887;rhone;0
79;1887;saone-et-loire;5100
80;1887;sarthe;4022
81;1887;savoie;0
82;1887;seine-et-marne;2503
83;1887;seine-maritime;6616
84;1887;somme;3857
85;1887;tarn;1974
86;1887;tarn-et-garonne;1550
87;1887;territoire+de+belfort;1992
88;1887;var;0
89;1887;vaucluse;1734
90;1887;vendee;3221
91;1887;vienne;2540
92;1887;vosges;3821
93;1887;yonne;2541
94;1887;yvelines;0
95;1888;ain;1171
96;1888;aisne;1071
97;1888;allier;0
98;1888;alpes-de-haute-provence;1186
99;1888;alpes-maritimes;0
100;1888;archives+diplomatiques;0
101;1888;ariege;549
102;1888;aude;3474
103;1888;aveyron;2185
104;1888;bas-rhin;4
105;1888;bouches-du-rhone;3185
106;1888;calvados;0
107;1888;cantal;2238
108;1888;charente;1782
109;1888;charente-maritime;3069
110;1888;cher;1852
111;1888;correze;3283
112;1888;corse;2090
113;1888;cote+d%27or;0
114;1888;cotes+d%27armor;4481
115;1888;creuse;1653
116;1888;deux-sevres;1948
117;1888;dordogne;3144
118;1888;doubs;1975
119;1888;drome;2292
120;1888;eure;1425
121;1888;eure-et-loir;3
122;1888;finistere;5556
123;1888;gard;3849
124;1888;gers;1376
125;1888;gironde;5209
126;1888;guadeloupe;0
127;1888;haut-rhin;0
128;1888;haute-garonne;3628
129;1888;haute-loire;2303
130;1888;haute-marne;1374
131;1888;haute-saone;1570
132;1888;haute-savoie;2358
133;1888;haute-vienne;4088
134;1888;hautes-alpes;1011
135;1888;hautes-pyrenees;1789
136;1888;herault;1074
137;1888;ille-et-vilaine;4328
138;1888;indre;3412
139;1888;indre-et-loire;1640
140;1888;isere;4168
141;1888;jura;1843
142;1888;landes;1674
143;1888;loir-et-cher;0
144;1888;loire;0
145;1888;loire-atlantique;5075
146;1888;loiret;17
147;1888;lot;1462
148;1888;lot-et-garonne;2461
149;1888;lozere;1689
150;1888;maine-et-loire;1575
151;1888;manche;1375
152;1888;marne;3788
153;1888;martinique;0
154;1888;mayenne;2751
155;1888;memoire+des+hommes;99
156;1888;meurthe-et-moselle;3005
157;1888;meuse;1690
158;1888;morbihan;4479
159;1888;moselle;0
160;1888;nievre;4054
161;1888;nord;0
162;1888;oise;0
163;1888;orne;2431
164;1888;paris;16903
165;1888;pas-de-calais;6714
166;1888;puy-de-dome;2047
167;1888;pyrenees-atlantiques;3974
168;1888;pyrenees-orientales;1670
169;1888;rhone;0
170;1888;saone-et-loire;4959
171;1888;sarthe;3480
